time,open,high,low,close,volume
2018-01-01 00:00:00+00:00,1.19937,1.20152,1.19929,1.20108,9843
2018-01-02 00:00:00+00:00,1.20096,1.20794,1.20094,1.20614,154911
2018-01-03 00:00:00+00:00,1.20618,1.20636,1.20037,1.20108,170702
2018-01-04 00:00:00+00:00,1.20102,1.20882,1.20046,1.20666,181541
2018-01-05 00:00:00+00:00,1.20667,1.20803,1.20214,1.20274,182131
2018-01-07 00:00:00+00:00,1.20272,1.20386,1.20272,1.20372,4415
2018-01-08 00:00:00+00:00,1.20371,1.20518,1.19566,1.197,157647
2018-01-09 00:00:00+00:00,1.19692,1.1975,1.19167,1.19284,184712
2018-01-10 00:00:00+00:00,1.19301,1.20162,1.1924,1.19558,282169
2018-01-11 00:00:00+00:00,1.1956,1.20578,1.19309,1.20429,281913
2018-01-12 00:00:00+00:00,1.20429,1.22084,1.20415,1.22032,331363
2018-01-14 00:00:00+00:00,1.21925,1.22109,1.21912,1.2192,7847
2018-01-15 00:00:00+00:00,1.21934,1.22957,1.21882,1.22668,246197
2018-01-16 00:00:00+00:00,1.22667,1.22811,1.21964,1.22706,306997
2018-01-17 00:00:00+00:00,1.22692,1.23147,1.21652,1.21803,392889
2018-01-18 00:00:00+00:00,1.21821,1.22645,1.2175,1.22345,315013
2018-01-19 00:00:00+00:00,1.22362,1.22945,1.22144,1.22144,308594
2018-01-21 00:00:00+00:00,1.22687,1.22687,1.22395,1.2256,9770
2018-01-22 00:00:00+00:00,1.22566,1.22666,1.22161,1.22564,239666
2018-01-23 00:00:00+00:00,1.22588,1.23149,1.22232,1.2309,300121
2018-01-24 00:00:00+00:00,1.23109,1.24144,1.22916,1.23927,383302
2018-01-25 00:00:00+00:00,1.23957,1.2534,1.23644,1.23915,673855
2018-01-26 00:00:00+00:00,1.23942,1.24903,1.23872,1.24288,459999
2018-01-28 00:00:00+00:00,1.24229,1.24311,1.24133,1.24311,6695
2018-01-29 00:00:00+00:00,1.24283,1.24321,1.23373,1.23809,365954
2018-01-30 00:00:00+00:00,1.2384,1.24522,1.23384,1.24084,373659
2018-01-31 00:00:00+00:00,1.24067,1.24749,1.23887,1.24169,448264
2018-02-01 00:00:00+00:00,1.24174,1.25202,1.23866,1.25106,350206
2018-02-02 00:00:00+00:00,1.25109,1.25172,1.24097,1.24553,385030
2018-02-04 00:00:00+00:00,1.24358,1.24543,1.24254,1.24463,15070
2018-02-05 00:00:00+00:00,1.24457,1.24748,1.23648,1.2367,394427
2018-02-06 00:00:00+00:00,1.23657,1.24281,1.23157,1.23804,531701
2018-02-07 00:00:00+00:00,1.2381,1.24041,1.22467,1.22699,341843
2018-02-08 00:00:00+00:00,1.22676,1.22943,1.22133,1.22609,458865
2018-02-09 00:00:00+00:00,1.22611,1.22852,1.22068,1.22495,443120
2018-02-11 00:00:00+00:00,1.22448,1.22523,1.22418,1.22523,6710
2018-02-12 00:00:00+00:00,1.22527,1.23067,1.22353,1.23009,245705
2018-02-13 00:00:00+00:00,1.23008,1.2371,1.22851,1.23537,266178
2018-02-14 00:00:00+00:00,1.23521,1.24684,1.22775,1.24684,392710
2018-02-15 00:00:00+00:00,1.24664,1.25095,1.24486,1.25029,309646
2018-02-16 00:00:00+00:00,1.25067,1.25543,1.23969,1.24092,308045
2018-02-18 00:00:00+00:00,1.23999,1.24199,1.23999,1.24118,6533
2018-02-19 00:00:00+00:00,1.24122,1.24343,1.23691,1.24003,182934
2018-02-20 00:00:00+00:00,1.23981,1.24106,1.23213,1.23354,265541
2018-02-21 00:00:00+00:00,1.23351,1.2357,1.22743,1.22805,324897
2018-02-22 00:00:00+00:00,1.22799,1.23507,1.22605,1.23257,286990
2018-02-23 00:00:00+00:00,1.23259,1.23306,1.22801,1.22933,216840
2018-02-25 00:00:00+00:00,1.22916,1.22948,1.22813,1.22884,5861
2018-02-26 00:00:00+00:00,1.2286,1.23539,1.22803,1.23152,224762
2018-02-27 00:00:00+00:00,1.23167,1.23445,1.22224,1.22261,307573
2018-02-28 00:00:00+00:00,1.22232,1.22395,1.21892,1.21915,276371
2018-03-01 00:00:00+00:00,1.21912,1.22745,1.21566,1.22711,309418
