time,open,high,low,close,volume
2018-01-01 00:00:00+00:00,112.648,112.789,112.576,112.772,18613
2018-01-02 00:00:00+00:00,112.77,112.784,112.075,112.256,170203
2018-01-03 00:00:00+00:00,112.262,112.621,112.193,112.608,175622
2018-01-04 00:00:00+00:00,112.623,112.859,112.509,112.802,196574
2018-01-05 00:00:00+00:00,112.788,113.294,112.738,113.018,191942
2018-01-07 00:00:00+00:00,113.116,113.177,113.035,113.16,15535
2018-01-08 00:00:00+00:00,113.154,113.382,112.884,113.148,158501
2018-01-09 00:00:00+00:00,113.168,113.168,112.372,112.775,221240
2018-01-10 00:00:00+00:00,112.759,112.759,111.294,111.461,297625
2018-01-11 00:00:00+00:00,111.424,111.865,111.05,111.285,253816
2018-01-12 00:00:00+00:00,111.266,111.685,110.921,110.996,272130
2018-01-14 00:00:00+00:00,111.075,111.158,111.0,111.144,14689
2018-01-15 00:00:00+00:00,111.13,111.13,110.33,110.619,242278
2018-01-16 00:00:00+00:00,110.631,110.972,110.249,110.394,262942
2018-01-17 00:00:00+00:00,110.338,111.376,110.211,111.356,296632
2018-01-18 00:00:00+00:00,111.304,111.474,110.712,111.043,281613
2018-01-19 00:00:00+00:00,111.015,111.11,110.505,110.814,255989
2018-01-21 00:00:00+00:00,110.543,110.799,110.517,110.688,23079
2018-01-22 00:00:00+00:00,110.668,111.204,110.611,110.984,206507
2018-01-23 00:00:00+00:00,110.952,111.173,110.07,110.125,261759
2018-01-24 00:00:00+00:00,110.101,110.285,108.981,109.321,320230
2018-01-25 00:00:00+00:00,109.302,109.712,108.503,109.671,465346
2018-01-26 00:00:00+00:00,109.616,109.763,108.292,108.589,376436
2018-01-28 00:00:00+00:00,108.685,108.77,108.607,108.607,24753
2018-01-29 00:00:00+00:00,108.645,109.192,108.518,108.945,299371
2018-01-30 00:00:00+00:00,108.939,109.179,108.425,108.743,340341
2018-01-31 00:00:00+00:00,108.784,109.409,108.604,109.195,371566
2018-02-01 00:00:00+00:00,109.155,109.749,109.1,109.399,316231
2018-02-02 00:00:00+00:00,109.389,110.456,109.281,110.152,385507
2018-02-04 00:00:00+00:00,110.2,110.28,110.034,110.034,24793
2018-02-05 00:00:00+00:00,110.052,110.248,109.026,109.053,473856
2018-02-06 00:00:00+00:00,109.069,109.701,108.464,109.628,736420
2018-02-07 00:00:00+00:00,109.637,109.696,108.928,109.154,424615
2018-02-08 00:00:00+00:00,109.135,109.777,108.511,108.558,565028
2018-02-09 00:00:00+00:00,108.605,109.285,108.048,108.77,659675
2018-02-11 00:00:00+00:00,108.858,108.881,108.717,108.805,16473
2018-02-12 00:00:00+00:00,108.774,108.801,108.456,108.72,359047
2018-02-13 00:00:00+00:00,108.687,108.767,107.433,107.766,366381
2018-02-14 00:00:00+00:00,107.774,107.892,106.457,106.551,472029
2018-02-15 00:00:00+00:00,106.604,106.89,106.035,106.106,416487
2018-02-16 00:00:00+00:00,106.065,106.386,105.593,106.272,338547
2018-02-18 00:00:00+00:00,106.304,106.366,106.145,106.267,21872
2018-02-19 00:00:00+00:00,106.279,106.737,106.101,106.717,194961
2018-02-20 00:00:00+00:00,106.727,107.393,106.652,107.393,259360
2018-02-21 00:00:00+00:00,107.372,107.895,107.305,107.58,323885
2018-02-22 00:00:00+00:00,107.635,107.754,106.606,106.84,301373
2018-02-23 00:00:00+00:00,106.846,107.12,106.535,106.858,216630
2018-02-25 00:00:00+00:00,107.106,107.135,106.926,107.078,21981
2018-02-26 00:00:00+00:00,107.056,107.084,106.381,107.07,257695
2018-02-27 00:00:00+00:00,107.091,107.675,106.79,107.428,285304
2018-02-28 00:00:00+00:00,107.453,107.522,106.575,106.636,277741
2018-03-01 00:00:00+00:00,106.634,107.188,106.084,106.172,320287
2018-03-02 00:00:00+00:00,106.186,106.287,105.258,105.712,310521
2018-03-04 00:00:00+00:00,105.5,105.675,105.485,105.563,20722
2018-03-05 00:00:00+00:00,105.564,106.276,105.357,106.256,269049
2018-03-06 00:00:00+00:00,106.268,106.444,105.46,105.58,277392
2018-03-07 00:00:00+00:00,105.654,106.203,105.51,106.182,289617
2018-03-08 00:00:00+00:00,106.173,106.432,105.903,106.42,245130
2018-03-09 00:00:00+00:00,106.393,107.024,106.36,106.814,242911
2018-03-11 00:00:00+00:00,106.635,106.959,106.635,106.902,9297
2018-03-12 00:00:00+00:00,106.936,106.963,106.273,106.294,192897
2018-03-13 00:00:00+00:00,106.313,107.277,106.256,106.528,336335
2018-03-14 00:00:00+00:00,106.554,106.742,106.079,106.163,292462
2018-03-15 00:00:00+00:00,106.142,106.414,105.795,106.309,306443
2018-03-16 00:00:00+00:00,106.296,106.296,105.612,105.953,237235
2018-03-18 00:00:00+00:00,105.915,106.053,105.911,105.96,12965
2018-03-19 00:00:00+00:00,105.971,106.302,105.677,106.016,327354
2018-03-20 00:00:00+00:00,106.046,106.597,105.996,106.48,286386
2018-03-21 00:00:00+00:00,106.49,106.628,105.893,105.942,320058
2018-03-22 00:00:00+00:00,105.942,105.962,104.681,104.96,494892
2018-03-23 00:00:00+00:00,104.978,105.275,104.676,104.712,455863
2018-03-25 00:00:00+00:00,104.642,104.861,104.642,104.837,16082
2018-03-26 00:00:00+00:00,104.848,105.547,104.742,105.547,321774
2018-03-27 00:00:00+00:00,105.546,105.898,105.326,105.48,344860
2018-03-28 00:00:00+00:00,105.529,107.002,105.427,106.806,431619
2018-03-29 00:00:00+00:00,106.797,106.925,106.27,106.487,306922
2018-03-30 00:00:00+00:00,106.473,106.505,106.124,106.26,144640
2018-04-01 00:00:00+00:00,106.237,106.401,106.207,106.32,19444
2018-04-02 00:00:00+00:00,106.311,106.448,105.668,105.798,267723
2018-04-03 00:00:00+00:00,105.81,106.655,105.709,106.443,333259
2018-04-04 00:00:00+00:00,106.434,106.84,106.01,106.786,436472
2018-04-05 00:00:00+00:00,106.797,107.486,106.723,107.107,381967
2018-04-06 00:00:00+00:00,107.105,107.457,106.792,106.915,469766
2018-04-08 00:00:00+00:00,106.944,107.033,106.812,106.958,27005
2018-04-09 00:00:00+00:00,106.949,107.198,106.624,106.754,339399
2018-04-10 00:00:00+00:00,106.712,107.397,106.628,107.131,416537
2018-04-11 00:00:00+00:00,107.124,107.147,106.651,106.828,378674
2018-04-12 00:00:00+00:00,106.815,107.421,106.703,107.253,372640
2018-04-13 00:00:00+00:00,107.272,107.774,107.26,107.338,330809
2018-04-15 00:00:00+00:00,107.462,107.582,107.462,107.523,14925
2018-04-16 00:00:00+00:00,107.494,107.504,107.042,107.055,308614
2018-04-17 00:00:00+00:00,107.013,107.202,106.887,107.023,283839
2018-04-18 00:00:00+00:00,107.023,107.381,107.01,107.356,296132
2018-04-19 00:00:00+00:00,107.346,107.511,107.247,107.445,341424
2018-04-20 00:00:00+00:00,107.464,107.853,107.408,107.616,311741
2018-04-22 00:00:00+00:00,107.766,107.886,107.684,107.881,29000
2018-04-23 00:00:00+00:00,107.858,108.786,107.737,108.774,326444
2018-04-24 00:00:00+00:00,108.758,109.196,108.56,108.804,390931
2018-04-25 00:00:00+00:00,108.801,109.459,108.794,109.375,404841
2018-04-26 00:00:00+00:00,109.381,109.447,109.07,109.303,363368
2018-04-27 00:00:00+00:00,109.309,109.526,108.99,109.022,326378
2018-04-29 00:00:00+00:00,109.055,109.179,109.029,109.097,15913
2018-04-30 00:00:00+00:00,109.102,109.436,109.028,109.312,306540
2018-05-01 00:00:00+00:00,109.32,109.914,109.26,109.871,304319
